﻿"№ ГОЛОСА";"ИЗБИР. ОКРУГ";"АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ";"БЛОК ГОЛОСА";"ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА";"ЗАШИФРОВАННЫЙ ГОЛОС"
"65";77;"0xd09ceb97718f73178cba125d39521242ff86d35b2b3c5d2d2cb8b2f31bb31b1d";"#15909";"07:04:57";"{""message"":""045523a0586c9844e99dab19f5ffcec3642107b0"",""nonce"":""45095eef340ed5b102a6db3889ee6e68913ad2e94ac1f1b1"",""public_key"":""0eaf513247691b7ed34260282cc2e00b9a2f50b639789838568af8c46afcf54e""}"
"66";77;"0xa4376b971f7ce1a8cfc1aa926dcfa3485f8af8f56d7cbbfc596d8b41ac147da2";"#15909";"07:04:57";"{""message"":""935abaf6e1b8ca727874a2dd14357dc1067d1f30"",""nonce"":""b465410ebdbc3fbb384b03f816c3e7b8ae7b0c85a9a20956"",""public_key"":""6611b83300f36943d0837b5f0fb220dbd969a5cb4fd62a82d0df5584efd53e0f""}"
"67";77;"0xabd737573c5dd483c9e4a07fbeb6f722216fed955f6fa5534e08725d7309089b";"#15909";"07:04:57";"{""message"":""f828ebd7d727bc91dcb1fc5d0ea430c7072842dd"",""nonce"":""9183354ec525c216a9b514e0964844c28161348c05a49a83"",""public_key"":""d27c0e1e7016debc86b1626d9979cc1c2e144d12b2406ce29ddec82dfe464e31""}"
"70";77;"0x8c258388287c415f08535644379ca34bb627ae375f15343a69130791bb5d1168";"#15909";"07:04:57";"{""message"":""3a739ce91d487b0f53bbce7e80fcbc6b33006178"",""nonce"":""fba1e190f387bad8b1190e42e50d7b760582d1811360042e"",""public_key"":""978689a390ce680b508e4e269533833d57a7b55b951fac144833da2b6137de17""}"
"71";77;"0x5e6bbb7f9a936658342b7e335ab3f05c35e4e46936f97b4259ea6f8284662e5a";"#15909";"07:04:57";"{""message"":""1b6688678e30a5b4daf66225c160e84a246aa894"",""nonce"":""f2878da3f4a6d4d7525397bed71b959d38d0b9875af77c2b"",""public_key"":""b88dba45932d874191c5390adcb5243a549b454d3e6a4087e4d6d82490d1c65f""}"
"72";77;"0x904e306cf0ec295d0c501760664a5d96562239579edfd5e6dc2d6a2b3563e81f";"#15909";"07:04:57";"{""message"":""4c0cb605c23aeae7059f545103f9a572f07bd53e"",""nonce"":""c157c9632324f1da5f353ad525056ba792367e6c3b6a82ae"",""public_key"":""f3c293a85ca9fc78f83f17816a8a2363095f81445c40361b640698882551053e""}"
"73";77;"0xb3a615c0991f41b59941d5714699581e4f16b0c67f1e46d1cdff9f93b4adca4d";"#15909";"07:04:57";"{""message"":""49b4612b5bf6f416ffbd5706b5eb479a3c02d4c2"",""nonce"":""0a97129ad7b4d4b1e83ffa95bd5df148fc04eb8b1fa9759c"",""public_key"":""302c60df1fc8e6e6240d079a43bcb90270f7273eae646ebc8d91360dc47a5d09""}"
"74";77;"0xb4ff80c944370d5bbdcf8e38e688d2c435f06c7848419835e6660419e73bd252";"#15909";"07:04:57";"{""message"":""86648305533332ddfb7d6e195c6ce693fd0ba6f0"",""nonce"":""3bb9ed94b6a1def12b352da9e54a03bd121bebc35a878d8e"",""public_key"":""3fc149f1618a11051092f8a144aac56bab3ae51dc250a402352d8b5baacf3c01""}"
"75";77;"0xcbbdd87f255d4035cf58670a65b4256d438501f46095c6108e15cf5e540b1089";"#15909";"07:04:57";"{""message"":""66c2f5aa5eec5bfb31e85fe3613e39c5308765fa"",""nonce"":""283f18e5a3b60d9e4f7b2a61b1e6e089ce9d84c75514b54e"",""public_key"":""10603b11263b00c8fabea144656475361747be891ee9df723304513ff534167e""}"
"76";77;"0x643f5865c5caced5425df5ca5c4f4ec341d9dca0add8adf9cf55caa2cf1d5b6e";"#15909";"07:04:57";"{""message"":""6df3b782684e8fb37cbf0aad981792a6dfcac94a"",""nonce"":""f17b4b0022e85318b02ea65cd08f2fea45c26caeeffc643d"",""public_key"":""ceebdcd9831bf11140a6500d447ede497df884a7b0276b6fc8fae5bd35491214""}"
